,วันที 09 เดือน กุมภาพันธ์ พ.ศ.,2565 เวสา 18:36,และพาณิชย์ (ฉบับที,ร่างพระราชบัญญัติ แก้ไขเพิ่มเติมประมวลกฎหมายแพ่ง - - -
121,ศุ27,นายสุทิน คลังแสง,พรรคเพื่อไทย,-
122,033,นางสุภาภรณ์ คงวุฒิปัญญา,พรรคเพื่อไทย,
123,ย35,นายสรชาติ ชาญประดิษฐ์,พรรคเพื่อไทย,-
124,839,นายสุรพงษ์ อึ้งอัมพรวิไล,พรรคเพื่อไทย,-
,,,,หน้า 5/ 1.1521
ลําตดับที่,เลขที่บัตร,ชื่อ-สกุล,ขือสังกัด,ผลการลงคะแนน
125,441,นายสุรวิทย์ คนสมบูรณ์,พรรคเพื่อไทย,-
126,ๆศ54ี,'านายองอาจ วงษ์ประยูร,พรรคเพื่อไทย,
127,ศีอยี,นายอนันต์ ศรีพันธ์,พรรคเพื่อไทย,-
1268,งๆไ6้2,นาวาอากาศเอกอนุติษฐ์ นาครทรรพ,พรรคเพื่อไทย,-
129,468,นายอนุสรณ์ ปั้นทอง,พรรคเพื่อไทย,-
130,4ก2,นายอภิชาติ ตีรูสวัสดิชัย,พรรคเพื่อไทย,
131,495,นายเอกซัย ฑรงอํานาจเจริญ,พรรคเพื่อไทย,-
132,005,นางกรณีศ งามสุศนธ์รัตนา,พรรคพลังประชาวรัฐ,เห็นด้วย
133,00,นายกรุงศรีวิไล สทินเผือก,พรรคพลังประชารัฐ,เห็นด้วย
134,010,นายกฤษณ์ แก้วอยู่,พรรคพลังประชารัฐ,เห็นด้วย
135,012,นายกนษิตี้เดช ชูติมันต์,พรรคพลังประชารัฐ,เห็นด้วย
136,015,นางสาวกัลยา รุ่งวิจิตรชัย,พรรคพลังประชารัฐ,เห็นด้วย
137,017,นางสาวภานต์กนิษฐ์ แห้วสันตติ,พรรคพลังประชารัฐ,เห็นด้วย
138,025,นางสาวกุลวลสิ นพอบรบตดี,พรรคพลังประชารัฐ,เห็นด้วย
139,050,ร้อยเอก จองซัย วงศ์ทรายทอง,พรรคพลังประชารัฐ,เห็นด้วย
140,055,นายจักรพันธ์ พรนิมีตร,พรรคพลังประชารัฐ,เห็นด้วย
141,056์,นายจักรัตน์ พั้วช่วย,พรรคพลังประชารัฐ,เห็นด้วย
142,0,นางเจริญ เรียวแรง,พรรคพลังประชารัธุ,เห็นด้วย
143,091,นายชัยวัฒน์ เป้าเปี่ยมทรัพย์,พรรคพลังประชาวัฐ,เห็นด้วย
144,092,นายขัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,เห็นด้วย
145,094,นายชาญวิทย์ วิภูศิริ,พรรคพลังประชารัฐ,เห็นด้วย
146,ไ10บ,นายชูศักดิ์ คศีรวีมาศทอง,พรรคพลังประชารัฐ,เห็นด้วย
147,102,นายเชิงชาย ซาลิรีนทร์,พรรคพลังประชารัฐ,เห็นด้วย
148,105,นายโขติวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,เห็นด้วย
149,110,พันตํารวจโท ฐนภัทร กิตติวงศา,พรรคพลังประชาวัฐ,เห็นด้วย
150,111,นายฐานีสร์ เทียนทอง,พรรคพลังประชารัฐ,เห็นด้วย
151,112,นายฐาปกรณ์ กุลเจริญ,พรรคพลังประชาวัฐ,เห็นด้วย
152,114,นางสาวฐิติภัสร์ โชติเดชาขัยนันต์,พรรคพลังประชารัฐ,เห็นด้วย
153,130,นางสาวตรวีนุช เทียนทอง,พรรคพลังประชารัฐ,เห็นด้วย
154,137,นายทวิรัฐ วัตนเศรษฐ,พรรคพลังประชาวัฐ,เห็นด้วย
155,145,นายกองตรีอาญาสิทธิ์ ศรีสุวรรณ,พรวศพลังประชาวัฐ,เห็นด้วย
1ไ56,1568,นายธรรมวิชญ์ โพธิพิพิธ,พรรคพลังประชาวัฐ,เห็นด้วย
157,174,นายพรชัย ตระกูลวรานนท์,พรรคพลังประชารัฐ,เห็นด้วย
,,,,หน้า 6/ 1.1521
สําดับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแนบ
158,176,นายนัทธิ์ ถิ่นสาศู,พรรคพลังประชารัฐ,เห็นด้วย
159,181,นายนีพันธ์ ศิริธร,พรรคพลังประชารัฐ,เห็บด้วย
160,ไ8้ยี,นายบิโรธ สูนทรเคขา,พรรคพลังประชารัฐ,เห็นด้วย
161,195,นางบุญยิง นิติกาญจนา,พรรคพลังประชารัฐ,เห็นด้วย
162,202,นายปฐมพงศ์ สูญจันทร์,พรรคพลังประชารัฐ,เห็นด้วย
163,206,นายบระทวาน สุทธิอํ้านวยเตช,พรรคพลังประชารัฐ,เห็นด้วย
164,211,นายประสิทธิ์ มะหะหมัด,พรรคพลังประชารัฐ,เห็นด้วย
165,21ใก้,นายปริญญา ถกษ์หร่าย,พรรคพลังประซารัฐ,เห็นด้วย
166,235,นางพรรณสิริ กุสนาถศิริ,พรรคพลังประชารัฐ,เห็นด้วย
167,238,นางสาวพัชรีนทร์ ซําศิริพงษ์,พรรคพลังประชารัฐ,เห็นด้วย
168,2ๆ2,นางพืซขชซารัตน์ เลาหพงศ์ชนะ,พรรคพลังประชารัฐ,เห็นด้วย
169,2484,นายพิเขษฐ สถิรชวาล,พรรคพลังประชารัฐ,เห็นด้วย
170,2ๆ47,นางสาวพืมพ์พร พรพฤศฒิีพันธุ์,พรรคพลังประชารัฐ,เห็นด้วย
171,253,นายต่อศักดิ์ อัศวเหม,พรรคพลังประชารัฐ,เห็นด้วย
1729,259,นายไพบูลย์ นิติตะวัน,พรรคพลังประซารัฐ,เห็นด้วย
173,261,นางสาวไพลิน เทียนสวรรณ,พรรคพลังประชารัฐ,เห็นด้วย
174,264,นางสาวถรีม พูลเจริญ,พรรคพลังประชารัฐ,เห็นด้วย
1765,26,นางสาวภาคตาท์ วรกานนท์,พรรคพลังประชารัฐ,เห็นด้วย
176 ,210,นายภิญโญ นิโรจน์,พรรคพลังประชาวัฐ,เห็นด้วย
ไกก,271,นายภูติท อินสุวรรณ์,พรรคพลังประซารัฐ,เห็นด้วย
178,275,นายมณเทฑียร สงฆ์ประชา,พรรคพลังประชาวัฐ,เห็นด้วย
179,289,นายยงยูทธิ สวรรณบุตร,พรรคพลังประชารัฐ,เห็นด้วย
180,294,รองศาสตราจารย์รงค์ บุญสวยขวัญ,พรรคพลังประชารัฐ,เห็นด้วย
181,295,นายรณเทพ อนุวัฒน์,พรรคพลังประชารัฐ,เห็นด้วย
182,509,นางสาววทันยา วงษ์โอภาสี,พรรคพลังประชารัฐ,เห็นด้วย
183,322,นายวันซัย ปริญญาสศิริ,พรรคพลังประชาธรัฐ,เห็นด้วย
184,394,นางวันเพ็ญ พร้อมพัฒน์,พรรคพลังประชาวัฐ,เห็นด้วย
185,5ว,นายวิเขียร ซชวลิต,พรรคพลังประชารัฐ,เห็นด้วย
186,342,นายวิระกร ศําประกอบ,พรรคพลังประชารัฐ,เห็นด้วย
187,2849,นายเพชรภูบมิ อาภรณ์รัตน์,พรรคพลังประชารัฐ,เห็นด้วย
188,359,นายศาสตรา ศรีปาน,พรรคพลังประชาวรัฐ,เห็นด้วย
189,9ว62,นายศีริพงษ์ วัสมี,พรรคพลังประชารัฐ,เห็นด้วย
190,236,นายสมเกียรติ วอนเพียร,พรรศพลังประชารัฐ,เห็นด้วย
,,,,หน้า 7/ 1.1521
ลําดับที่,เลขที่บัตร,ซื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
191,ว82,พลเอก สมขาย วิษณุวงศ์,พรรคพลังประชารัฐ,เห็นด้วย
192,384,นายสมบัติ อํานาคะ,พรรคพลังประชารัฐ,เห็นด้วย
193,386,นายสมพงษ์ โสภณ,พรรคพลังประชารัฐ,เห็นด้วย
194,3965,นายสรวุฒิ เนื่องจํานงค์,พรรคพลังประชาวัฐ,เห็นด้วย
195,ๆ02,นายสัญญา นิลสุพรรณ,พรรคพลังประชาวัฐ,เห็นด้วย
196,ๆ03,นายสิณหพจน์ สุขศรีเมือง,พรรคพลังประชารัฐ,เห็นด้วย
197,4ปศี,นายสุรพร ดนัยตั้งตระกูล,พรรคพลังประชารัฐ,เห็นด้วย
198,ๆ0 7,นายสัมฤทธิ์ แทนทรัพย์,พรรคพลังประชาวัฐ,เห็นด้วย
199,411,นายสาธิต อุ๋ยตระกูล,พรรคพลังประชารัฐ,เห็นด้วย
2ก00,4ุ12,นายสายัณห์ ยุติธรรม,พรรคพลังประชารัฐ,เห็นด้วย
201,423,นายสุชาติ อุสาหะ,พรรคพลังประชาวรัฐ,เห็นด้วย
202,๓ไฮ6,นายสุทา ประทีป ณ ถลาง,พรรคพลังประชารัฐ,เห็นด้วย
203,ส430,นายขวน ซูจันทร์,พรรคพลังประชาวรัฐ,เห็นด้วย
20491,436,นายสุรชาติ ศรีบุศกร,พรรคพลังประชารัฐ,เห็นด้วย
205,ๆ92,นายสุรศักดิ์ ซิงนวรรณ์,พรรคพลังประชารัฐ,เห็นด้วย
206,กแฉ,นายสุรศักดิ์ อนรรฆพันธ์,พรรคพลังประชารัฐ,เห็นด้วย
207,845,นายสุรสิทธิ์ นิธิวุฒิวรรักษ์,พรรคพลังประชารัฐ,เห็นด้วย
208,446,นายสุรสิทธิ์ วงศ์วิทยานันท์,พรรคพลังประชารัฐ,เห็นด้วย
209,4ไ48,นายสรียะ จึงรุ่งเรืองกิจ,พรรคพลังประชาวัฐ,เห็นด้วย
210,ส456,นายอรธีรัฐ รัตนเศรษฐ,พรรคพลังประซารัฐ,เห็นด้วย
211,4ๆ57,นายอนันต์ ผลอํานวย,พรรคพลังประชารัฐ,เห็นด้วย
212,461,นายอนุชา นาคาศัย,พรรคพลังประชารัฐ,เห็นด้วย
213,ศกค์,นายอรรถกร ศิริลัทธยากร,พรรคพลังประชารัฐ,เห็นด้วย
2184,ๆู77,ร้อยตํารวจเอก อรุณ สวัสดี,พรรคพลังประชาวัฐ,เห็นด้วย
215,4ๆ19,นายอัครวัฒน์ อัศวเหม,พรรคพลังประชาวัธ,เห็นด้วย
216,480,นายอัฏฐพล โพธิพิพิธ,พรรคพลังประชาวัฐ,เห็นด้วย
217,4865,นายฮาดติลัน อาลียิสเฮอาะ,พรรคพลังประชาวัฐ,เห็นด้วย
218,40909,นายเยอียม ทองใจสด,พรรคพลังประชารัฐ,เห็นด้วย
219,317,นายวัชระ ยาวอหะขัน,พรรคพลังประชารัฐ,ไม่เห็นด้วย
,,,,-
220,4ๆ06,นายสัมพันธ์ มะยูโซ๊ะ,พรรคพลังประชารัฐ,ไม่เห็นด้วย
221,460,นายอนุชา น้อยวงศ์,พรรคพลังประชารัฐ,ไม่เห็นด้วย
222,227,นายพงศ์กวิน จึงรุ่งเรืองกิจ,พรรศพลังประชารัฐ,-
223,229,นายพยม พรหมเพชร,พรรคพลังประชาวัฐ,
,,,,หน้า 8/ 1.1521
สําดับที่,เลขที่บัตร,ชื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
224,284,นายมานัส อ่อนอ้าย,พรรคพลังประชาธัฐ,-
