id,title,name,lastname,party,is_mp,is_senator,is_cabinet,is_active,votelog.__1,votelog.__2,votelog.__3,votelog.__4,votelog.__5,votelog.__6,votelog.__7,votelog.__8,votelog.__9,votelog.__10,votelog.__11,votelog.__12,votelog.__13,votelog.__14,votelog.__26,votelog.__27,votelog.__28,votelog.__29,votelog.__30,votelog.__31,votelog.__32,votelog.__33,votelog.__34,votelog.__35,votelog.__36,votelog.__37,votelog.__38,votelog.__39,votelog.__40,votelog.__41,votelog.__42,votelog.__43,votelog.__44,votelog.__45,votelog.__46,votelog.__47,votelog.__48,votelog.__49,votelog.__50,votelog.__51,votelog.__52,votelog.__53,votelog.__54,votelog.__55,votelog.__56,votelog.__57,votelog.__58,votelog.__59,votelog.__60,votelog.__61,votelog.__62,votelog.__63,votelog.__64,votelog.__65,votelog.__66,votelog.__67,votelog.__68,votelog.__69,votelog.__70,votelog.__71,votelog.__72,votelog.__73,votelog.__74,votelog.__75,votelog.__76,votelog.__77,votelog.__78,votelog.__79,votelog.__80,votelog.__81,votelog.__82,
23,ศาสตราจารย์ ดร.,กนก,วงษ์ตระหง่าน,ประชาธิปัตย์,1,0,0,1,1,2,1,2,1,1,4,4,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,,1,,,2,1,2,,1,1,1,,2,2,1,1,1,
24,นาย,กมลศักดิ์,ลีวาเมาะ,ประชาชาติ,1,0,0,1,2,3,4,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,2,,1,1,1,,,,,,1,,,2,,3,
25,นาย,กรณ์,จาติกวณิช,ประชาธิปัตย์,1,0,0,0,1,1,1,4,1,1,4,1,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
26,นาง,กรณิศ,งามสุคนธ์รัตนา,พลังประชารัฐ,1,0,0,1,1,2,1,4,1,1,1,1,2,4,1,4,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,3,2,2,3,1,3,1,3,3,1,1,1,3,3,3,3,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
27,นาย,กรวีร์,ปริศนานันทกุล,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,,,,,,2,1,1,1,
28,นาย,กรุงศรีวิไล,สุทินเผือก,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,-,-,1,-,-,-,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,3,1,3,1,3,3,1,1,1,3,3,3,3,1,1,2,2,2,2,2,2,1,1,1,,,2,1,2,2,1,1,1,1,2,1,1,1,1,
29,นาย,กฤติเดช,สันติวชิระกุล,ภูมิใจไทย,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,2,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
30,นาย,กฤษฎา,ตันเทอดทิตย์,เพื่อไทย,1,0,0,1,2,2,1,4,1,3,4,1,4,1,3,1,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,1,,2,2,2,2,
31,นาย,กฤษณ์,แก้วอยู่,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,3,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,3,3,1,1,1,3,3,3,3,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
32,นางสาว,กวินนาถ,ตาคีย์,พลังท้องถิ่นไท,1,0,0,1,2,1,1,1,1,1,1,4,1,1,2,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,3,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,,,1,2,1,2,2,,1,,,3,2,1,1,2,
