id,title,name,lastname,party,is_mp,is_senator,is_cabinet,is_active,votelog.__1,votelog.__2,votelog.__3,votelog.__4,votelog.__5,votelog.__6,votelog.__7,votelog.__8,votelog.__9,votelog.__10,votelog.__11,votelog.__12,votelog.__13,votelog.__14,votelog.__26,votelog.__27,votelog.__28,votelog.__29,votelog.__30,votelog.__31,votelog.__32,votelog.__33,votelog.__34,votelog.__35,votelog.__36,votelog.__37,votelog.__38,votelog.__39,votelog.__40,votelog.__41,votelog.__42,votelog.__43,votelog.__44,votelog.__45,votelog.__46,votelog.__47,votelog.__48,votelog.__49,votelog.__50,votelog.__51,votelog.__52,votelog.__53,votelog.__54,votelog.__55,votelog.__56,votelog.__57,votelog.__58,votelog.__59,votelog.__60,votelog.__61,votelog.__62,votelog.__63,votelog.__64,votelog.__65,votelog.__66,votelog.__67,votelog.__68,votelog.__69,votelog.__70,votelog.__71,votelog.__72,votelog.__73,votelog.__74,votelog.__75,votelog.__76,votelog.__77,votelog.__78,votelog.__79,votelog.__80,votelog.__81,votelog.__82,
473,นาย,องค์การ,ชัยบุตร,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,1,1,,2,2,1,1,1,1,,,,2,2,2,2,2,2,
474,นาย,องอาจ,คล้ามไพบูลย์,ประชาธิปัตย์,1,0,0,1,1,2,3,2,1,1,1,4,2,1,1,1,4,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,,2,2,,1,,1,2,1,1,1,1,
475,นาย,องอาจ,วงษ์ประยูร,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,1,1,1,1,1,,,,,,,
476,นาย,อดิพงษ์,ฐิติพิทยา,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,
477,นาย,ศักดิ์สยาม,ชิดชอบ,ภูมิใจไทย,1,0,1,1,1,2,1,4,1,1,4,1,2,1,1,4,4,2,1,1,3,3,3,3,2,4,2,2,2,2,2,2,2,3,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,3,2,2,1,,,,,,,,,,,,,,,,1,,
478,นาย,อนันต์,ผลอำนวย,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,4,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,2,1,2,2,1,1,1,1,3,1,1,1,1,
479,นาย,อนันต์,ศรีพันธุ์,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,1,1,,,,,1,2,2,,,
480,นาย,อนาวิล,รัตนสถาพร,ภูมิใจไทย,1,0,0,1,2,1,1,1,4,3,1,1,4,1,2,1,4,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
481,นาย,อนุชา,น้อยวงศ์,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,
482,นาย,อนุชา,นาคาศัย,พลังประชารัฐ,1,0,1,1,1,2,1,2,1,1,4,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,,,2,1,2,2,,,,1,,1,1,1,1,
483,นาวาอากาศเอก,อนุดิษฐ์,นาครทรรพ,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,4,3,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,,,,,,,,2,2,2,,
484,นาย,อนุทิน,ชาญวีรกูล,ภูมิใจไทย,1,0,1,1,1,2,4,2,1,1,1,1,2,1,1,4,4,4,1,1,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,3,2,2,2,2,,,,,,,,,,,,,,,,,1,,
485,นาย,อนุมัติ,ซูสารอ,ประชาชาติ,1,0,0,1,2,3,4,1,4,4,4,4,3,4,1,4,2,2,4,4,4,4,4,4,4,4,2,2,2,3,2,2,2,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,,,2,2,1,,1,1,2,1,1,1,1,
486,นาย,อนุรักษ์,จุรีมาศ,ชาติไทยพัฒนา,1,0,0,1,1,2,3,2,1,1,1,4,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,3,1,3,3,1,1,1,1,1,3,1,1,1,2,2,2,2,2,2,,1,1,1,1,2,1,2,2,1,1,1,1,,1,1,1,1,
487,นาย,อนุรักษ์,ตั้งปณิธานนท์,เพื่อไทย,1,0,0,1,2,2,1,1,4,3,1,1,4,1,3,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,,1,,,,1,,1,1,,,,,,-,-,-,-,หยุดปฏิบัติหน้าที่ (15.02.2022)
488,นาง,อนุรักษ์,บุญศล,เพื่อไทย,1,0,0,1,2,2,1,1,4,3,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,,,1,1,2,2,,2,
489,นาย,อนุสรณ์,ปั้นทอง,เพื่อไทย,1,0,0,1,2,2,1,1,4,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,1,1,,,,,1,2,2,,,
490,นางสาว,อนุสรี,ทับสุวรรณ,รวมพลังประชาชาติไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,4,4,2,2,2,3,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,1,2,1,,,,,,1,3,1,1,1,1,
491,ดร.,อภิชัย,เตชะอุบล,ประชาธิปัตย์,1,0,0,1,1,2,4,4,4,4,4,4,2,4,1,4,2,4,1,1,3,3,3,3,3,1,2,2,2,3,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,,,1,,2,,,,,,,4,,,,,,
492,นาย,อภิชา,เลิศพชรกมล,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
493,ดร.,อภิชาติ,ตีรสวัสดิชัย,เพื่อไทย,1,0,0,1,2,4,1,1,1,3,1,4,4,4,3,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,1,1,,,,,,,,,,
494,นาย,อภิชาติ,ศิริสุนทร,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,1,,,2,2,1,,1,,,,,,2,2,2,2,2,
495,นาย,สุทัศน์,เงินหมื่น,ประชาธิปัตย์,1,0,0,1,-,2,3,2,1,1,4,4,2,1,1,1,4,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,2,,3,3,1,,1,,1,1,,1,1,
496,นาง,อมรัตน์,โชคปมิตต์กุล,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,4,1,1,1,1,1,1,,,,2,2,1,,1,1,1,1,1,,2,2,2,2,1,
497,นาย,อรรถกร,ศิริลัทธยากร,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,3,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,3,1,1,1,1,
498,ร้อยตำรวจเอก,อรุณ,สวัสดี,พลังประชารัฐ,1,0,0,1,1,2,1,2,4,1,4,1,2,1,1,4,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,,1,,1,2,1,2,,1,,1,1,,1,1,1,1,
499,นาย,อัครเดช,วงษ์พิทักษ์โรจน์,ประชาธิปัตย์,1,0,0,1,1,2,1,2,1,1,1,4,2,1,1,1,4,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,,,,,1,2,,,,,,,,,1,,1,1,
500,นาย,อัครวัฒน์,อัศวเหม,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,4,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,,,1,1,1,1,,1,1,1,1,
501,นาย,อัฏฐพล,โพธิพิพิธ,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,,1,1,1,1,
502,นาย,อันวาร์,สาและ,ประชาธิปัตย์,1,0,0,1,1,2,1,2,4,1,1,1,1,1,1,1,2,2,1,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,,1,,,2,2,,,,1,3,,1,,,
503,นาย,อับดุลบาซิม,อาบู,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,4,1,2,1,1,1,2,2,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,3,
504,นาย,อับดุลอายี,สาแม็ง,ประชาชาติ,1,0,0,1,2,4,1,1,1,3,4,4,4,1,3,4,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,2,,3,
505,นาย,อัศวิน,วิภูศิริ,ประชาธิปัตย์,1,0,0,1,1,2,2,2,4,1,4,4,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,,,,2,,2,2,,,,,,1,1,1,,
506,นาย,อาดิลัน,อาลีอิสเฮาะ,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,
507,นาง,อาภรณ์,สาราคำ,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,,1,,2,2,2,2,
508,นาย,อารี,ไกรนรา,เพื่อชาติ,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,3,,1,,1,,1,,,,,,,,1,,2,,,
509,นาย,อาสพลธ์,สรรณ์ไตรภพ,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,4,2,1,1,1,2,2,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,,1,4,1,1,,,2,2,,,,,,1,1,1,2,
510,นาย,อำนาจ,วิลาวัลย์,ภูมิใจไทย,1,0,0,1,1,2,1,2,4,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,,,,,,,,,,
511,นาย,อำไพ,กองมณี,เสรีรวมไทย,1,0,0,1,2,1,2,1,4,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,,2,,2,2,2,2,
512,นาย,อิทธิรัตน์,จันทรสุรินทร์,เพื่อไทย,1,0,0,0,2,2,1,1,4,3,4,1,4,1,3,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
513,นาย,อิสสระ,สมชัย,ประชาธิปัตย์,1,0,0,0,1,2,1,2,4,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
514,นาย,อุบลศักดิ์,บัวหลวงงาม,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,1,,,,1,,1,1,,,,,,2,2,2,2,
515,นาย,เอกการ,ซื่อทรงธรรม,ภูมิใจไทย,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,4,2,4,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
516,นาย,เอกชัย,ทรงอำนาจเจริญ,เพื่อไทย,1,0,0,1,2,2,4,4,1,3,4,1,4,1,4,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,1,1,,,,1,,2,2,,,
517,นาย,เอกธนัช,อินทร์รอด,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,4,1,4,4,3,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,1,,1,,1,1,,,1,,,2,2,2,2,
518,นายแพทย์,เอกภพ,เพียรพิเศษ,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,4,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,4,2,4,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,
519,ดร.,เอกราช,ช่างเหลา,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,4,1,4,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,,1,,1,1,2,1,2,2,,,,,,,,,,
520,นาย,เอี่ยม,ทองใจสด,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,,1,1,1,1,
521,นาย,โอชิษฐ์,เกียรติก้องชูชัย,เพื่อไทย,1,0,0,1,2,2,1,1,4,3,1,1,4,1,3,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,1,,1,1,,1,1,1,,1,,,2,2,2,2,
522,นาย,พีระวิทย์,เรื่องลือดลภาค,ไทรักธรรม,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,3,3,3,3,3,1,2,2,2,2,2,1,1,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,2,2,2,,,1,,1,2,1,2,,1,1,1,1,1,4,,1,2,
523,นาย,อภิสิทธิ์,เวชชาชีวะ,ประชาธิปัตย์,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
524,ศาสตราจารย์ ดร.,นฤมล,ภิญโญสินวัฒน์,พลังประชารัฐ,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
525,นาย,สมเกียรติ,ศรลัมพ์,ประชาภิวัฒน์,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
526,พลเอก,กนิษฐ์,ชาญปรีชญา,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,3,3,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
527,นาย,กรรณภว์,ธนภรรคภวิน,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,3,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,,,-,-,-,-,-,-,-,-,-,-,-,-,
528,พลตรี,กลชัย,สุวรรณบูรณ์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,,,-,-,-,-,-,-,-,-,-,-,-,-,
529,นาย,กล้านรงค์,จันทิก,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,3,3,1,3,1,3,1,-,-,-,-,-,-,-,-,-,-,4,3,3,1,3,3,1,1,1,3,1,3,1,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
530,นาย,กษิดิศ,อาชวคุณ,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
531,นาง,กอบกุล,อาภากร ณ อยุธยา,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,3,2,3,2,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
532,นาง,กาญจนารัตน์,ลีวิโรจน์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,3,3,1,3,1,3,1,-,-,-,-,-,-,-,-,-,-,4,2,2,3,3,3,3,1,1,3,1,3,3,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
533,นาย,กำพล,เลิศเกียรติดำรงค์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,3,2,3,2,2,2,1,2,2,2,2,1,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
534,นาย,กิตติ,วะสีนนท์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,3,3,1,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,2,3,3,2,1,3,1,2,1,3,1,1,,,,,,,,,,,,1,,-,-,-,-,-,-,-,-,-,-,-,-,
535,นาย,กิตติศักดิ์,รัตนวราหะ,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,3,3,3,2,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,, ,,,-,-,-,-,-,-,-,-,-,-,-,-,
536,นาย,กูรดิสถ์,จันทร์ศรีชวาลา,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,3,2,1,3,3,3,1,3,3,3,3,3,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
537,นาย,เกียว,แก้วสุทอ,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
538,ดร.,ไกรสิทธิ์,ตันติศิรินทร์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,3,1,1,3,3,3,1,3,1,1,1,1,,,,,,,,,,,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,
539,นาย,ขวัญชาติ,วงศ์ศุภรานันต์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,3,3,3,3,2,3,3,3,3,3,3,3,1,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
540,นาย,คำนูณ,สิทธิสมาน,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,1,3,3,3,3,-,-,-,-,-,-,-,-,-,-,4,2,3,3,1,3,3,1,1,1,1,1,1,3,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
541,นาย,จเด็จ,อินสว่าง,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,2,3,2,3,2,1,2,1,-,-,-,-,-,-,-,-,-,-,3,2,2,2,2,2,1,1,2,2,1,2,2,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
542,นาย,จรินทร์,จักกะพาก,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,3,3,3,2,3,3,3,3,3,3,1,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
543,พลโท,จเรศักณิ์,อานุภาพ,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
544,พลตำรวจเอก,จักรทิพย์,ชัยจินดา,,0,1,0,0,1,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
545,พลตำรวจโท,จิตติ,รอดบางยาง,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
546,นาง,จินตนา,ชัยยวรรณาการ,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,2,1,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
547,นาย,จิรชัย,มูลทองโร่ย,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,3,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,2,2,3,3,3,3,1,1,3,1,3,1,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
548,นาง,จิรดา,สงฆ์ประชา,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,4,3,2,3,2,2,2,3,2,2,2,2,2,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
549,พลเอก,จิรพงศ์,วรรณรัตน์,,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,1,1,3,3,3,3,3,4,-,-,-,-,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,
