6์คิ,ๆ14,นายสิงหภณ ดีนาง,พรรคเพื่อไทย,ไม่เห็นด้วย
69,416,นางสิรินทร จฐามสูต,พรรคเพื่อไทย,ไม่เห็นด้วย
ฯ70,4ๆ41,นายสุรวิทย์ คนสมบูรณ์,พรรคเพื่อไทย,ไม่เห็นด้วย
1ไ,462,นาวาอากาศเอกอนุติษฐ์ นาครทรรพ,พรรคเพื่อไทย,ไม่เห็นด้วย
172,486,นบนางอาภรณ์ สาราคํา,พรรคเพื่อไทย,ไม่เห็นด้วย
7173,493,นายอุบลศักดิ์ บัวหลวงงาม,พรรคเพื่อไทย,ไม่เห็นด้วย
7ก,4196,นายเอกธน์ซ ยินทร์รอด,พรรคเพื่อไทย,ไม่เห็นด้วย
75,.500,นายโอชิษฐ์ เกียรติก้องชูชัย,พรรคเพื่อไทย,ไม่เห็นด้วย
76,001]1,นพายกนก ลิ้มตระกูล,พรรคเพื่อไทย,
7ซ,018,นายการุณ โหสกุล,พรรคเพือไทย,-
78,019,นายกิตติ สมทรัพย์,พรรคเพื่อไทย,
9,020,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,-
80,037,นายขจิตร ขัยนิคม,พรรคเพื่อไทย,-
ย1,042,นายคมเดช ไชยศิวามงคล,พรรคเพื่อไทย,-
82,ป843,นายครูมานิตย์ สังข์พุ่ม,พรรคเพื่อไทย,
83,ภู4,พายจตุพร เจริญเชื้อ,พรรคเพื่อไทย,
84,053,นายจักรพรรดี ไชยสาส์น,พรรคเพื่อไทย,-
55,054,นายจักรพล ตั้งสุทธิธรรม,พรรคเพื่อไทย,-
86,063,นายจิรพงษ์ ทรงวัชราภรณ์,พรรคเพื่อไทย,-
ณิก,0 68,นายจิรายุ ห่วงทรัพย์,พรรคเพื่อไทย,
88,086,นายชวลิต วิชยสุทธิ์,พรรคเพือไทย,-
85859,090,นายชัยยันต์ ผลสวรรณ์,พรรคเพื่อไทย,
8,101,นายชูศักดิ์ แอกทอง,พรรคเพื่อไทย,
91,103,นายเขิดพงศ์ ราชป้องขันธ์,พรรคเพื่อไทย,-
,,,กลุ่มงานรายงานการประชุม สํานักรายงานการประชุมและขวเลข,
,,,,ฑหน้า ๆ/ 1.1518
ลําดับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังคัด,ผลการลงคะแนน
9ว97,123,นายณ์ฐวุฒิ กองจันทร์ดี,พรรคเพื่อไทย,-
93,131,นายตี้ใหญ่ พูนศรีธนากูล,พรรคเพื่อไทย,-
94,133,นายไตรรงค ติธรรม,พรรคเพื่อไทย,
95,171,นายนพพส เหลืองทองนบนารา,พรรคเพื่อไทย,-
ว6,182,นายนิยม ซข่างพีบนิจ,พรรคเพื่อไทย,-
97,185,นายบิรมีต สจารี,พรรคเพื่อไทย,-
98,193,นายบุญแก้ว สมวงศ์,พรรคเพื่อไทย,
99,194ๆ0,นายบุญธิณ ประทุมล๊,พรรคเพื่อไทย,-
100,ฮ059,นายประเดิมขัย บุญช่วยเหลือ,พรรคเพื่อไทย,
101,212,นายประสิทธิ์ วุฒินันชัย,พรรคเพื่อไทย,-
102,213,นายประเสรีฐ จันทรรวงทอง,พรรคเพื่อไทย,
103,232,นายพรเทพ วิสุทธิ์วัฒนศักดิ์,พรรคเพื่อไทย,-
106๕84,239,นายพัฒนา สัพโส,พรรคเพื่อไทย,
105,2843,นายพิเขษฐ์ เชื้อเมืองพาน,พรรคเพื่อไทย,-
106,258,นายไพจิต ศรีวรขาน,พรรคเพื่อไทย,
107,260,นายไพโรจน์ โล่ห์สุนทร,พรรคเพื่อไทย,-
108,266,นายภาควัต ศรีสรพล,พรรคเพื่อไทย,
109,276,นายมนตรี ตั้งเจริญกาวร,พรรคเพื่อไทย,
110,292,นายยุทธพงศ์ จรัสเสถียร,พรรคเพื่อไทย,-
111,220,นายวัน อยู่บํารุง,พรรคเพื่อไทย,-
112,335,นายวิวัฒน์ชัย โหตระไวศยะ,พรรคเพื่อไทย,-
113,5ส5,นายวิระวัฒน์ โอสถานุเคราะห์,พรรคเพื่อไทย,-
114,3246,นายวุฒิขัย กิตตีธเนศวร,พรรคเพื่อไทย,-
115,552,นายศราวุธ เพขรพนมพร,พรรคเพื่อไทย,
116,9356,นายศักดา คงเพชว์,พรรคเพื่อไทย,-
117,3267,นายศุภขัย นพซํา,พรรคเพื่อไทย,-
