0,1,2,3,4,5
110,335,นายวิวัฒนชัย โหตระไวศยะ,พรรค.พื่อไทย,-,
111,344,นายวีระพล  จิตสัมฤทธิ์,พรรค.พือไทย,-,
112,345,นายวีระวัฒน์ โอสถานุเคราะห์,พรรคเพื่อไทย,.,
113,346,นายวุฒิชัย กิตติธเนศวร,พรรคเพื่อไทย,=,
114,352,นายศราวุธ เพชรพนมพร,พรรคเพื่อไทย,=,
115,356,นายศักดา คงเพชร,พรรค.พื่อไทย,=,
116,367,นายศุภขัย นพขำ,พรรค.พื่อไทย,ต.,
117,378,นายสมคิด เชื้อคง,พรรคเพือไทย,=,
118,387,นายสมพงษ์ อมรวิวัฒน์,พรรค.พือไทย,.,
119,397,นางสาวสรัสนันท์ อรรณนพพร,พรรคเพือไทย,..,
120,422,นายสุชาติ ภิญโญ,พรรคเพือไทย,..,
121,427,"นายสุทิน คลัง,.สง",พรรค.เพื่อไทย า,.,
122,433,นางสุภาภรณ์ คงวุฒิปัญญา,พรรคเพือไทย,อ,
123,435,นายสุรชาติ ชาญประดิษฐ์,พรรค.เพือไทย,-,
124,439,นายสุรพงษ์ อึ่งอัมพรวิไล,พรรคเพือไทย,..,
,,,,หน้า 5/ 1.1521,
 ลำดับที่,เลขที่บัตร,ชือ-สกุล,ชือสังกัด,ผลการลงคะแนน,
125,441,นายสุรวิทย์ คนสมบูรณ์,พรรคเพือไทย,.=,
126,454,นายองอาจ วงษ์ประยูร,พรรคเพื่อไทย,.,
127,458,นายอนันต์ ศรีพันธุ์,พรรคเพื่อไทย,บ,
128,462,นาวาอากาศเอกอนุดิษฐ์ นาครทรรพ,พรรคเพื่อไทย,.=,
129,468,นายอนุสรณํ ขั้นทอง,พรรคเพื่อไทย,..,
130,472,นายอภิชาติ ตีรสวัสดิชัย,พรรคเพื่อไทย,.,
131,495,นายเอกชัย ทรงอำนาจเจริญ,พรรค.เพือไทย,.=,
132,005,นางารณิศ งามสุคนธ์รัตนา,พรรคพลังประชารัฐ,เท็นด้วย,
133,007,นายกรุงศรีวิไล สุทินเผือก,พรรคพลังประชารัฐ,เท็นด้วย,
134,010,นายกฤษณ์  แก้วอยู่,พรรคพลังประชารัฐ,เท็นด้วย,
135,012,นายกษิดิ์เดช ชุติมันต์,พรรคพลังประชารัฐ,เท็นด้วย,
136,015,นางสาวกัลยา รุ่งวิจิตรชัย,พรรคพลังประชารัฐ,เห็นด้วย,
137,017,นางสาวกานต์กนิษฐ์ แห้วสันตติ,พรรคพลังประชารัฐ,เห็นด้วย,
138,025,นางสาวกุลวลี นพอมรบดี,พรรคพลังประชารัฐ,เห็นด้วย,
139,050,ร้อย.อก จองชัย วงศ์ทรายทอง,พรรคพลังประชารัฐ,เท็นด้วย,
140,055,นายจักรพันธ์ พรนิมิตร,พรรคพลังประชารัฐ,เท็นด้วย,
141,.056,นายจักรัตน์ พั้วช่วย,พรรคพลังประชารัฐ,เท็นด้วย,
142,077,นางเจริญ เรี่ยวแรง,พรรคพลังประชารัฐ,เท็นด้วย,
143,091,นายชัยวัฒน์ เป้าเปียมทรัพย์,พรรคพลังประชารัฐ,เท็นด้าย,
144,092,นายชัยวุฒิ ธนาคมานุสรณํ,พรรคพลังประชารัฐ,เห็นด้วย,
145,094,นายชาญวิทย์ วิภูศิริ,พรรคพลังประชารัฐ,เห็นด้วย,
146,100,นายชูศักดิ์ คีรีมาศทอง,พรรคพลังประชารัฐ,เท็นด้วย,
147,102,นายเชิงชาย ชาลีรินทร์,พรรคพลังประชารัฐ,เท็นด้วย,
148,105,นายโชติวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,เท็นด้วย,
